id,autor,fenomeno_linguistico,nivel_confianca_equivalencia,similaridade_bge_m3,similaridade_labse,similaridade_embeddinggemma
vieira_001,Padre Antônio Vieira,Antítese,alta,0.7102965116500854,0.7439936995506287,0.5961634516716003
assis_001,Machado de Assis,Eufemismo e Ironia,alta,0.7060421109199524,0.7021124362945557,0.700273334980011
anjos_001,Augusto dos Anjos,Metáfora Cósmica / Niilismo Físico,média,0.7610387206077576,0.6956637501716614,0.6779798269271851
anjos_002,Augusto dos Anjos,Niilismo Fís / Estática do Nada,média,0.6872720122337341,0.6594241857528687,0.5587970614433289
anjos_003,Augusto dos Anjos,Niilismo Ontológico / Antinomia e Oximoro,média,0.6373207569122314,0.5711359977722168,0.5199660062789917
anjos_004,Augusto dos Anjos,Niilismo Ontológico / Não Ser,alta,0.5911124348640442,0.5518788695335388,0.5210078358650208
andrade_001,Mário de Andrade,Neologismo e Sarcasmo,média,0.637877881526947,0.5435368418693542,0.5805022120475769
anjos_005,Augusto dos Anjos,Niilismo Filosófico / Desconstrução Metafísica,alta,0.680633008480072,0.7002291083335876,0.5401020050048828
vieira_002,Padre Antônio Vieira,Paradoxo,alta,0.5066618919372559,0.335737943649292,0.33574211597442627
andrade_002,Mário de Andrade,Paródia,alta,0.7117738127708435,0.7112618088722229,0.746364176273346
azevedo_001,Aluísio Azevedo,Sugestão e Conotação,média,0.7724384665489197,0.7423198819160461,0.7381702065467834
assis_002,Machado de Assis,Zeugma,média,0.876851499080658,0.868122935295105,0.8742271661758423
camoes_001,Luís de Camões,Paradoxo,média,0.8191304206848145,0.887072741985321,0.7674477100372314
matos_001,Gregório de Matos,Paradoxo,alta,0.9373598694801331,0.8638692498207092,0.8667088747024536
assis_003,Machado de Assis,Ironia estrutural / Inversão conceitual,média,0.7756351828575134,0.6225962042808533,0.7365468740463257
camoes_002,Luís de Camões,Hipérbato,alta,0.6694789528846741,0.6964533925056458,0.6199673414230347
camoes_003,Luís de Camões,Antítese,alta,0.8607190847396851,0.8936206698417664,0.8406872749328613
matos_002,Gregório de Matos,Antítese,média,0.7661156058311462,0.7146057486534119,0.717871904373169
matos_003,Gregório de Matos,Zeugma,média,0.8920256495475769,0.9207614064216614,0.8524214029312134
matos_004,Gregório de Matos,Hipérbato,média,0.8920256495475769,0.9207614064216614,0.8524214029312134
matos_005,Gregório de Matos,Antítese,média,0.8920256495475769,0.9207614064216614,0.8524214029312134
pessoa_001,Fernando Pessoa (Ricardo Reis),Hipérbato,alta,0.740882158279419,0.8922756314277649,0.7700964212417603
matos_006,Gregório de Matos,Paradoxo,média,0.8920256495475769,0.9207614064216614,0.8524214029312134
assis_004,Machado de Assis,Paradoxo e Metáfora,média,0.8651517033576965,0.9023062586784363,0.9003793597221375
pessoa_002,Fernando Pessoa (Ricardo Reis),Hipérbato e Metáfora,média,0.7486345171928406,0.8455668687820435,0.7600604891777039
