fenomeno_linguistico,diferenca_para_controle_bge_m3,diferenca_para_controle_labse,diferenca_para_controle_embeddinggemma
Paradoxo,-44.25,-63.1,-61.03
Niilismo Ontológico / Não Ser,-35.8,-41.48,-42.5
Niilismo Ontológico / Antinomia e Oximoro,-31.18,-39.56,-42.61
Neologismo e Sarcasmo,-31.12,-42.32,-36.56
Niilismo Filosófico / Desconstrução Metafísica,-26.85,-26.65,-40.6
Niilismo Fís / Estática do Nada,-26.19,-30.73,-38.73
Eufemismo e Ironia,-24.31,-26.46,-24.58
Antítese,-23.88,-22.27,-34.99
Paródia,-23.74,-25.54,-19.97
Metáfora Cósmica / Niilismo Físico,-18.81,-27.1,-26.81
Sugestão e Conotação,-17.67,-22.44,-20.79
Zeugma,-7.23,-9.86,-7.18
