fenomeno_linguistico,zscore_bge_m3,zscore_labse,zscore_embeddinggemma
Paradoxo,-17.49,-28.18,-22.49
Niilismo Ontológico / Não Ser,-14.15,-18.53,-15.67
Niilismo Ontológico / Antinomia e Oximoro,-12.33,-17.67,-15.7
Neologismo e Sarcasmo,-12.3,-18.9,-13.47
Niilismo Fís / Estática do Nada,-10.35,-13.72,-14.27
Niilismo Filosófico / Desconstrução Metafísica,-10.61,-11.9,-14.96
Antítese,-9.44,-9.95,-12.9
Eufemismo e Ironia,-9.61,-11.82,-9.06
Metáfora Cósmica / Niilismo Físico,-7.44,-12.11,-9.88
Paródia,-9.38,-11.41,-7.36
Sugestão e Conotação,-6.98,-10.02,-7.66
Zeugma,-2.86,-4.4,-2.65
